,id,framerate,marker,scene,rating
0,1,120,aruco,image,5.0
1,1,120,aruco,text_d,3.0
2,1,120,aruco,text_w,5.0
3,1,120,point,image,5.0
4,1,120,point,text_d,3.0
5,1,120,point,text_w,5.0
6,1,120,qr,image,4.0
7,1,120,qr,text_d,3.0
8,1,120,qr,text_w,5.0
9,1,144,aruco,image,5.0
10,1,144,aruco,text_d,2.6666666666666665
11,1,144,aruco,text_w,4.666666666666667
12,1,144,point,image,4.666666666666667
13,1,144,point,text_d,3.0
14,1,144,point,text_w,5.0
15,1,144,qr,image,4.666666666666667
16,1,144,qr,text_d,3.3333333333333335
17,1,144,qr,text_w,5.0
18,1,200,aruco,image,5.0
19,1,200,aruco,text_d,4.333333333333333
20,1,200,aruco,text_w,5.0
21,1,200,point,image,5.0
22,1,200,point,text_d,4.333333333333333
23,1,200,point,text_w,5.0
24,1,200,qr,image,5.0
25,1,200,qr,text_d,4.0
26,1,200,qr,text_w,5.0
27,1,240,aruco,image,5.0
28,1,240,aruco,text_d,4.333333333333333
29,1,240,aruco,text_w,5.0
30,1,240,point,image,5.0
31,1,240,point,text_d,4.333333333333333
32,1,240,point,text_w,5.0
33,1,240,qr,image,5.0
34,1,240,qr,text_d,4.666666666666667
35,1,240,qr,text_w,4.666666666666667
36,2,120,aruco,image,5.0
37,2,120,aruco,text_d,3.3333333333333335
38,2,120,aruco,text_w,5.0
39,2,120,point,image,4.333333333333333
40,2,120,point,text_d,3.3333333333333335
41,2,120,point,text_w,5.0
42,2,120,qr,image,5.0
43,2,120,qr,text_d,2.6666666666666665
44,2,120,qr,text_w,5.0
45,2,144,aruco,image,5.0
46,2,144,aruco,text_d,3.3333333333333335
47,2,144,aruco,text_w,5.0
48,2,144,point,image,5.0
49,2,144,point,text_d,3.3333333333333335
50,2,144,point,text_w,5.0
51,2,144,qr,image,5.0
52,2,144,qr,text_d,3.3333333333333335
53,2,144,qr,text_w,5.0
54,2,200,aruco,image,5.0
55,2,200,aruco,text_d,5.0
56,2,200,aruco,text_w,5.0
57,2,200,point,image,5.0
58,2,200,point,text_d,4.0
59,2,200,point,text_w,5.0
60,2,200,qr,image,5.0
61,2,200,qr,text_d,4.0
62,2,200,qr,text_w,5.0
63,2,240,aruco,image,5.0
64,2,240,aruco,text_d,5.0
65,2,240,aruco,text_w,5.0
66,2,240,point,image,5.0
67,2,240,point,text_d,5.0
68,2,240,point,text_w,5.0
69,2,240,qr,image,5.0
70,2,240,qr,text_d,4.666666666666667
71,2,240,qr,text_w,5.0
72,3,120,aruco,image,3.3333333333333335
73,3,120,aruco,text_d,3.3333333333333335
74,3,120,aruco,text_w,4.666666666666667
75,3,120,point,image,3.6666666666666665
76,3,120,point,text_d,3.0
77,3,120,point,text_w,5.0
78,3,120,qr,image,2.6666666666666665
79,3,120,qr,text_d,3.6666666666666665
80,3,120,qr,text_w,4.666666666666667
81,3,144,aruco,image,3.6666666666666665
82,3,144,aruco,text_d,3.3333333333333335
83,3,144,aruco,text_w,5.0
84,3,144,point,image,4.666666666666667
85,3,144,point,text_d,3.3333333333333335
86,3,144,point,text_w,5.0
87,3,144,qr,image,4.333333333333333
88,3,144,qr,text_d,3.3333333333333335
89,3,144,qr,text_w,4.666666666666667
90,3,200,aruco,image,5.0
91,3,200,aruco,text_d,4.666666666666667
92,3,200,aruco,text_w,5.0
93,3,200,point,image,5.0
94,3,200,point,text_d,4.0
95,3,200,point,text_w,5.0
96,3,200,qr,image,4.666666666666667
97,3,200,qr,text_d,4.0
98,3,200,qr,text_w,5.0
99,3,240,aruco,image,5.0
100,3,240,aruco,text_d,5.0
101,3,240,aruco,text_w,5.0
102,3,240,point,image,5.0
103,3,240,point,text_d,4.333333333333333
104,3,240,point,text_w,5.0
105,3,240,qr,image,5.0
106,3,240,qr,text_d,4.333333333333333
107,3,240,qr,text_w,5.0
108,4,120,aruco,image,3.6666666666666665
109,4,120,aruco,text_d,2.6666666666666665
110,4,120,aruco,text_w,5.0
111,4,120,point,image,4.0
112,4,120,point,text_d,1.6666666666666667
113,4,120,point,text_w,5.0
114,4,120,qr,image,3.0
115,4,120,qr,text_d,2.3333333333333335
116,4,120,qr,text_w,5.0
117,4,144,aruco,image,3.3333333333333335
118,4,144,aruco,text_d,3.3333333333333335
