id,timestamp,scene,framerate,marker,rating
5,2023-09-13 15:05:04.999926,text_w,240,qr,5
5,2023-09-13 15:05:10.978857,text_w,240,none,5
5,2023-09-13 15:05:16.722947,text_w,240,point,5
5,2023-09-13 15:05:22.355112,text_w,240,aruco,5
5,2023-09-13 15:05:28.040267,image,240,qr,5
5,2023-09-13 15:05:33.656350,image,240,none,5
5,2023-09-13 15:05:39.235355,image,240,point,5
5,2023-09-13 15:05:44.955356,image,240,aruco,5
5,2023-09-13 15:06:02.405998,text_d,120,qr,4
5,2023-09-13 15:06:08.533955,text_d,120,none,5
5,2023-09-13 15:06:20.207554,text_d,120,point,3
5,2023-09-13 15:06:26.417076,text_d,120,aruco,4
5,2023-09-13 15:06:32.678208,text_w,120,qr,5
5,2023-09-13 15:06:39.702291,text_w,120,none,5
5,2023-09-13 15:06:45.766265,text_w,120,point,5
5,2023-09-13 15:06:51.433363,text_w,120,aruco,5
5,2023-09-13 15:06:57.673382,image,120,qr,4
5,2023-09-13 15:07:03.561383,image,120,none,5
5,2023-09-13 15:07:09.641440,image,120,point,4
5,2023-09-13 15:07:15.996404,image,120,aruco,4
5,2023-09-13 15:07:24.590529,text_d,144,qr,3
5,2023-09-13 15:07:31.129502,text_d,144,none,5
5,2023-09-13 15:07:37.809511,text_d,144,point,3
5,2023-09-13 15:07:44.473513,text_d,144,aruco,4
5,2023-09-13 15:07:50.353558,text_w,144,qr,5
5,2023-09-13 15:07:56.748616,text_w,144,none,5
5,2023-09-13 15:08:03.006715,text_w,144,point,5
5,2023-09-13 15:08:08.926836,text_w,144,aruco,5
5,2023-09-13 15:08:15.566837,image,144,qr,4
5,2023-09-13 15:08:22.686833,image,144,none,5
5,2023-09-13 15:08:28.982876,image,144,point,4
5,2023-09-13 15:08:35.321900,image,144,aruco,4
5,2023-09-13 15:08:44.665997,text_d,200,qr,3
5,2023-09-13 15:08:50.340817,text_d,200,none,5
5,2023-09-13 15:08:56.220835,text_d,200,point,3
5,2023-09-13 15:09:02.876781,text_d,200,aruco,3
5,2023-09-13 15:09:09.129853,text_w,200,qr,5
5,2023-09-13 15:09:14.876760,text_w,200,none,5
5,2023-09-13 15:09:20.521865,text_w,200,point,5
5,2023-09-13 15:09:26.881903,text_w,200,aruco,5
5,2023-09-13 15:09:32.444095,image,200,qr,4
5,2023-09-13 15:09:38.311199,image,200,none,5
5,2023-09-13 15:09:44.015254,image,200,point,5
5,2023-09-13 15:09:49.770232,image,200,aruco,5
5,2023-09-13 15:09:57.506132,image,144,none,5
5,2023-09-13 15:10:04.298147,image,144,aruco,4
5,2023-09-13 15:10:11.018215,image,144,qr,4
5,2023-09-13 15:10:17.202235,image,144,point,4
5,2023-09-13 15:10:22.925148,text_d,144,none,5
5,2023-09-13 15:10:31.970241,text_d,144,aruco,4
5,2023-09-13 15:10:39.210315,text_d,144,qr,4
5,2023-09-13 15:10:45.786294,text_d,144,point,3
5,2023-09-13 15:10:51.546350,text_w,144,none,5
5,2023-09-13 15:10:57.122350,text_w,144,aruco,5
5,2023-09-13 15:11:02.906338,text_w,144,qr,5
5,2023-09-13 15:11:08.482359,text_w,144,point,5
5,2023-09-13 15:11:16.178414,image,240,none,5
5,2023-09-13 15:11:21.882390,image,240,aruco,5
5,2023-09-13 15:11:28.594465,image,240,qr,4
5,2023-09-13 15:11:34.354450,image,240,point,5
5,2023-09-13 15:11:40.655507,text_d,240,none,5
5,2023-09-13 15:11:47.223418,text_d,240,aruco,4
5,2023-09-13 15:11:53.335443,text_d,240,qr,3
5,2023-09-13 15:11:59.815463,text_d,240,point,3
5,2023-09-13 15:12:05.527498,text_w,240,none,5
5,2023-09-13 15:12:10.995132,text_w,240,aruco,5
5,2023-09-13 15:12:16.607745,text_w,240,qr,5
5,2023-09-13 15:12:22.170610,text_w,240,point,5
5,2023-09-13 15:12:29.957633,image,200,none,5
5,2023-09-13 15:12:36.090836,image,200,aruco,4
5,2023-09-13 15:12:43.195024,image,200,qr,4
5,2023-09-13 15:12:49.059014,image,200,point,5
5,2023-09-13 15:12:54.571097,text_d,200,none,5
5,2023-09-13 15:13:00.904314,text_d,200,aruco,4
5,2023-09-13 15:13:11.257882,text_d,200,qr,3
5,2023-09-13 15:13:18.512574,text_d,200,point,3
5,2023-09-13 15:13:23.957668,text_w,200,none,5
5,2023-09-13 15:13:29.472728,text_w,200,aruco,5
5,2023-09-13 15:13:34.984696,text_w,200,qr,5
5,2023-09-13 15:13:40.632814,text_w,200,point,5
5,2023-09-13 15:13:48.795830,image,120,none,5
5,2023-09-13 15:13:55.112993,image,120,aruco,4
5,2023-09-13 15:14:01.579999,image,120,qr,4
5,2023-09-13 15:14:07.985902,image,120,point,4
5,2023-09-13 15:14:13.716208,text_d,120,none,5
5,2023-09-13 15:14:20.476331,text_d,120,aruco,3
5,2023-09-13 15:14:26.324275,text_d,120,qr,3
5,2023-09-13 15:14:33.332337,text_d,120,point,3
5,2023-09-13 15:14:38.892530,text_w,120,none,5
5,2023-09-13 15:14:44.692573,text_w,120,aruco,5
5,2023-09-13 15:14:50.652670,text_w,120,qr,5
5,2023-09-13 15:14:56.572598,text_w,120,point,5
5,2023-09-13 15:15:04.473808,image,144,point,4
5,2023-09-13 15:15:10.236785,image,144,aruco,4
5,2023-09-13 15:15:16.228891,image,144,qr,4
5,2023-09-13 15:15:22.284996,image,144,none,5
5,2023-09-13 15:15:27.965002,text_w,144,point,5
5,2023-09-13 15:15:33.584025,text_w,144,aruco,5
5,2023-09-13 15:15:39.445194,text_w,144,qr,5
5,2023-09-13 15:15:45.333223,text_w,144,none,5
5,2023-09-13 15:15:51.389222,text_d,144,point,3
5,2023-09-13 15:15:57.181230,text_d,144,aruco,3
5,2023-09-13 15:16:03.437384,text_d,144,qr,3
5,2023-09-13 15:16:09.285409,text_d,144,none,5
5,2023-09-13 15:16:18.133500,image,200,point,5
5,2023-09-13 15:16:24.013647,image,200,aruco,5
5,2023-09-13 15:16:30.405623,image,200,qr,4
5,2023-09-13 15:16:36.261684,image,200,none,5
5,2023-09-13 15:16:41.965756,text_w,200,point,5
5,2023-09-13 15:16:47.485796,text_w,200,aruco,5
5,2023-09-13 15:16:53.205887,text_w,200,qr,5
5,2023-09-13 15:16:58.733913,text_w,200,none,5
5,2023-09-13 15:17:05.453993,text_d,200,point,3
5,2023-09-13 15:17:11.206006,text_d,200,aruco,4
5,2023-09-13 15:17:16.845970,text_d,200,qr,3
5,2023-09-13 15:17:22.486031,text_d,200,none,5
5,2023-09-13 15:17:30.414008,image,120,point,4
5,2023-09-13 15:17:35.997962,image,120,aruco,4
5,2023-09-13 15:17:42.478091,image,120,qr,4
5,2023-09-13 15:17:56.326186,image,120,none,4
5,2023-09-13 15:18:01.910214,text_w,120,point,5
5,2023-09-13 15:18:07.715305,text_w,120,aruco,5
5,2023-09-13 15:18:13.307343,text_w,120,qr,5
5,2023-09-13 15:18:18.902403,text_w,120,none,5
5,2023-09-13 15:18:26.598424,text_d,120,point,3
5,2023-09-13 15:18:32.374523,text_d,120,aruco,3
5,2023-09-13 15:18:38.075584,text_d,120,qr,3
5,2023-09-13 15:18:43.745445,text_d,120,none,5
5,2023-09-13 15:18:53.702620,image,240,point,2
5,2023-09-13 15:18:59.606622,image,240,aruco,5
5,2023-09-13 15:19:05.278738,image,240,qr,4
5,2023-09-13 15:19:12.510867,image,240,none,5
5,2023-09-13 15:19:18.299873,text_w,240,point,5
5,2023-09-13 15:19:24.078832,text_w,240,aruco,5
5,2023-09-13 15:19:29.705761,text_w,240,qr,5
5,2023-09-13 15:19:35.777821,text_w,240,none,5
5,2023-09-13 15:19:41.969835,text_d,240,point,4
5,2023-09-13 15:19:47.550962,text_d,240,aruco,4
5,2023-09-13 15:19:53.294993,text_d,240,qr,3
5,2023-09-13 15:19:58.980129,text_d,240,none,5
1,2023-09-13 15:58:31.240346,text_d,240,point,3
1,2023-09-13 15:58:39.936524,text_d,240,qr,4
1,2023-09-13 15:58:45.496543,text_d,240,none,5
1,2023-09-13 15:58:51.467647,text_d,240,aruco,3
1,2023-09-13 15:58:57.064821,image,240,point,5
1,2023-09-13 15:59:02.915874,image,240,qr,5
1,2023-09-13 15:59:08.532074,image,240,none,5
1,2023-09-13 15:59:13.980154,image,240,aruco,5
1,2023-09-13 15:59:20.569332,text_w,240,point,5
1,2023-09-13 15:59:26.273557,text_w,240,qr,5
1,2023-09-13 15:59:31.684584,text_w,240,none,5
1,2023-09-13 15:59:37.388741,text_w,240,aruco,5
1,2023-09-13 15:59:45.068226,text_d,120,point,3
1,2023-09-13 15:59:50.607362,text_d,120,qr,3
1,2023-09-13 15:59:56.090468,text_d,120,none,5
1,2023-09-13 15:00:01.791664,text_d,120,aruco,3
1,2023-09-13 15:00:07.583884,image,120,point,5
1,2023-09-13 15:00:13.048027,image,120,qr,5
1,2023-09-13 15:00:18.528207,image,120,none,5
1,2023-09-13 15:00:23.984307,image,120,aruco,5
1,2023-09-13 15:00:29.400559,text_w,120,point,5
1,2023-09-13 15:00:36.408780,text_w,120,qr,5
1,2023-09-13 15:00:42.216938,text_w,120,none,5
1,2023-09-13 15:02:37.647985,text_w,120,aruco,5
1,2023-09-13 15:03:19.014427,text_d,144,point,3
1,2023-09-13 15:03:25.683907,text_d,144,qr,3
1,2023-09-13 15:03:31.452822,text_d,144,none,5
1,2023-09-13 15:03:39.522251,text_d,144,aruco,4
1,2023-09-13 15:03:46.097036,image,144,point,5
1,2023-09-13 15:04:42.576158,image,144,qr,4
1,2023-09-13 15:04:57.753457,image,144,none,5
1,2023-09-13 15:05:04.079948,image,144,aruco,5
1,2023-09-13 15:05:12.364260,text_w,144,point,5
1,2023-09-13 15:05:19.321342,text_w,144,qr,5
1,2023-09-13 15:05:26.140203,text_w,144,none,5
1,2023-09-13 15:06:07.097279,text_w,144,aruco,5
1,2023-09-13 15:06:14.900242,text_d,200,point,4
1,2023-09-13 15:07:53.002260,text_d,200,qr,4
1,2023-09-13 15:07:58.602300,text_d,200,none,5
1,2023-09-13 15:08:04.218364,text_d,200,aruco,4
1,2023-09-13 15:08:10.551486,image,200,point,5
1,2023-09-13 15:08:16.457017,image,200,qr,5
1,2023-09-13 15:08:21.973454,image,200,none,5
1,2023-09-13 15:08:27.786631,image,200,aruco,5
1,2023-09-13 15:08:33.861625,text_w,200,point,5
1,2023-09-13 15:08:39.680022,text_w,200,qr,5
1,2023-09-13 15:08:46.595055,text_w,200,none,5
1,2023-09-13 15:08:56.651201,text_w,200,aruco,5
1,2023-09-13 15:09:06.029550,image,144,point,5
1,2023-09-13 15:09:11.507478,image,144,none,5
1,2023-09-13 15:09:17.731595,image,144,aruco,5
1,2023-09-13 15:09:36.022829,image,144,qr,5
1,2023-09-13 15:09:41.591022,text_w,144,point,5
1,2023-09-13 15:09:47.884185,text_w,144,none,5
1,2023-09-13 15:09:53.271236,text_w,144,aruco,4
1,2023-09-13 15:09:58.988451,text_w,144,qr,5
1,2023-09-13 16:10:04.607393,text_d,144,point,3
1,2023-09-13 16:10:10.460664,text_d,144,none,5
1,2023-09-13 16:10:16.108775,text_d,144,aruco,3
1,2023-09-13 16:10:21.604964,text_d,144,qr,4
1,2023-09-13 16:10:29.410197,image,200,point,5
1,2023-09-13 16:10:35.162344,image,200,none,5
1,2023-09-13 16:10:40.802388,image,200,aruco,5
1,2023-09-13 16:10:46.354565,image,200,qr,5
1,2023-09-13 16:10:51.829550,text_w,200,point,5
1,2023-09-13 16:10:57.848708,text_w,200,none,5
1,2023-09-13 16:11:03.602938,text_w,200,aruco,5
1,2023-09-13 16:11:09.579142,text_w,200,qr,5
1,2023-09-13 16:11:14.979302,text_d,200,point,5
1,2023-09-13 16:11:23.899522,text_d,200,none,5
1,2023-09-13 16:11:29.459625,text_d,200,aruco,5
1,2023-09-13 16:11:35.891774,text_d,200,qr,5
1,2023-09-13 16:11:43.147925,image,240,point,5
1,2023-09-13 16:11:48.844124,image,240,none,5
1,2023-09-13 16:11:54.604186,image,240,aruco,5
1,2023-09-13 16:12:00.471371,image,240,qr,5
1,2023-09-13 16:12:06.330403,text_w,240,point,5
1,2023-09-13 16:12:13.215675,text_w,240,none,5
1,2023-09-13 16:12:27.123883,text_w,240,aruco,5
1,2023-09-13 16:12:34.135953,text_w,240,qr,4
1,2023-09-13 16:12:39.604918,text_d,240,point,5
1,2023-09-13 16:12:45.009985,text_d,240,none,5
